quarter,label,snapshot_date,archive_timestamp,view,queue,view_label,pages_discovered,topics_on_first_page,estimated_total_topics,first_page_replies,first_page_participants,first_page_no_reply_topics,first_page_resolved_badges,first_page_forums,first_page_starters,latest_activity_at,oldest_activity_at,archive_original_url,archive_digest,source,source_url,source_note,collected_at
2018-07-01,2018-Q3,2018-07-17,20180717215217,unresolved,unresolved,Unresolved topics,348,30,10440,41,59,5,0,4,28,,,https://wordpress.org/support/view/support-forum-no/,4NZT3EXPGL72H6BWOIQYHRDVGEZWG7FS,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20180717215217id_/https://wordpress.org/support/view/support-forum-no/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2018-10-01,2018-Q4,2018-10-01,20181001023144,all_topics,all,Recent support topics,99,30,2970,57,65,2,2,3,29,,,https://wordpress.org/support/view/all-topics/,6JFXVJPXZOKDRDS32S6TCKBKJV4AID7K,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20181001023144id_/https://wordpress.org/support/view/all-topics/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2018-10-01,2018-Q4,2018-10-01,20181001023150,no_replies,no_replies,Topics with no replies,1,0,0,0,0,0,0,0,0,,,https://wordpress.org/support/view/no-replies/,HHUJBQIAYUQV4FK4NKMJQI3BO7UJ23EI,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20181001023150id_/https://wordpress.org/support/view/no-replies/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2018-10-01,2018-Q4,2018-10-01,20181001215558,resolved,resolved,Resolved topics,75,30,2250,115,74,0,30,4,30,,,https://wordpress.org/support/view/support-forum-yes/,6I5VW5CCAR5PFMDTT2COY3REU2MHZYUL,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20181001215558id_/https://wordpress.org/support/view/support-forum-yes/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2018-10-01,2018-Q4,2018-10-01,20181001023155,unresolved,unresolved,Unresolved topics,326,30,9780,60,67,0,0,3,29,,,https://wordpress.org/support/view/support-forum-no/,PJ2QORBXCN5NHK3VZPP3LJ4BZQDEVDP4,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20181001023155id_/https://wordpress.org/support/view/support-forum-no/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2019-01-01,2019-Q1,2019-01-01,20190101185322,all_topics,all,Recent support topics,99,30,2970,73,74,1,5,4,29,,,https://wordpress.org/support/view/all-topics/,47F4CHCUSMZQDIK6M47VLCKVNGEHZBGO,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20190101185322id_/https://wordpress.org/support/view/all-topics/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2019-01-01,2019-Q1,2019-01-01,20190101185327,no_replies,no_replies,Topics with no replies,1,7,7,0,8,7,0,2,7,,,https://wordpress.org/support/view/no-replies/,UJZZBHOOQE62W4PGLMFYVF4LLP35HDET,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20190101185327id_/https://wordpress.org/support/view/no-replies/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2019-01-01,2019-Q1,2019-01-19,20190119211142,resolved,resolved,Resolved topics,81,30,2430,99,63,1,30,4,30,,,https://wordpress.org/support/view/support-forum-yes/,ON243I45UO23SKZ4K6MPZTEVMABGSGP4,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20190119211142id_/https://wordpress.org/support/view/support-forum-yes/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2019-01-01,2019-Q1,2019-01-01,20190101185334,unresolved,unresolved,Unresolved topics,319,30,9570,71,75,0,0,4,29,,,https://wordpress.org/support/view/support-forum-no/,GVTL33DAQPHTQECH6B32C7IXK5HDWUGL,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20190101185334id_/https://wordpress.org/support/view/support-forum-no/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2019-04-01,2019-Q2,2019-04-01,20190401062745,all_topics,all,Recent support topics,49,30,1470,39,55,9,2,5,29,,,https://wordpress.org/support/view/all-topics/,BDMIODPVQSP6BUUUIMRE7FRL4BVXOY3X,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20190401062745id_/https://wordpress.org/support/view/all-topics/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2019-04-01,2019-Q2,2019-04-01,20190401070145,no_replies,no_replies,Topics with no replies,1,29,29,0,32,29,0,6,29,,,https://wordpress.org/support/view/no-replies/,3NTSLYRARF4R3LFLV3FC4UQWE3EHKBZ4,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20190401070145id_/https://wordpress.org/support/view/no-replies/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2019-04-01,2019-Q2,2019-04-01,20190401092711,resolved,resolved,Resolved topics,49,30,1470,109,67,0,30,4,28,,,https://wordpress.org/support/view/support-forum-yes/,KGC2BDRZ6Q7DP4FLVIKMHVS66UQKFWBE,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20190401092711id_/https://wordpress.org/support/view/support-forum-yes/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2019-04-01,2019-Q2,2019-04-01,20190401070151,unresolved,unresolved,Unresolved topics,49,30,1470,36,57,6,0,6,29,,,https://wordpress.org/support/view/support-forum-no/,FB5OOXC37IOLPKIQ3BLDV2U2WPHKUTVG,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20190401070151id_/https://wordpress.org/support/view/support-forum-no/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2019-07-01,2019-Q3,2019-07-01,20190701030747,all_topics,all,Recent support topics,49,30,1470,46,55,7,5,5,29,,,https://wordpress.org/support/view/all-topics/,VRO5VVIZDD4EWLA3JYZ2TETAB7K7BK6G,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20190701030747id_/https://wordpress.org/support/view/all-topics/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2019-07-01,2019-Q3,2019-07-01,20190701030752,no_replies,no_replies,Topics with no replies,2,30,60,0,30,30,0,6,30,,,https://wordpress.org/support/view/no-replies/,ER7DEWBFG6W3HICM2VWCGSSS5KOGPLMU,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20190701030752id_/https://wordpress.org/support/view/no-replies/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2019-07-01,2019-Q3,2019-07-02,20190702143112,resolved,resolved,Resolved topics,49,30,1470,108,66,0,30,3,29,,,https://wordpress.org/support/view/support-forum-yes/,VU47WKTCQEJ5ACFQHDQO7WWNHHQFHBMU,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20190702143112id_/https://wordpress.org/support/view/support-forum-yes/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2019-07-01,2019-Q3,2019-07-01,20190701030802,unresolved,unresolved,Unresolved topics,49,30,1470,49,55,8,0,5,30,,,https://wordpress.org/support/view/support-forum-no/,ZDEGFBHWKN67QO7OZ33LJIXQ6JLB6O2S,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20190701030802id_/https://wordpress.org/support/view/support-forum-no/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2019-10-01,2019-Q4,2019-10-04,20191004194129,all_topics,all,Recent support topics,49,30,1470,35,54,8,0,4,30,,,https://wordpress.org/support/view/all-topics/,CRC34V33ULMNQPLRQANKULZTXEE42SHG,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20191004194129id_/https://wordpress.org/support/view/all-topics/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2019-10-01,2019-Q4,2019-10-04,20191004194138,no_replies,no_replies,Topics with no replies,2,30,60,1,30,29,0,5,30,,,https://wordpress.org/support/view/no-replies/,KLV3PGHLSE7MQWZEF2MM52O53DLQUMVF,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20191004194138id_/https://wordpress.org/support/view/no-replies/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2019-10-01,2019-Q4,2019-10-06,20191006151654,resolved,resolved,Resolved topics,49,30,1470,94,65,1,30,5,30,,,https://wordpress.org/support/view/support-forum-yes/,UZLTGUZSPLUOYP3N5ZYFDUV3JSPLV4MS,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20191006151654id_/https://wordpress.org/support/view/support-forum-yes/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2019-10-01,2019-Q4,2019-10-04,20191004194157,unresolved,unresolved,Unresolved topics,49,30,1470,36,55,7,0,4,30,,,https://wordpress.org/support/view/support-forum-no/,37LLCYTFSUWWUHP2RTUUDLJK2FOPVZD7,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20191004194157id_/https://wordpress.org/support/view/support-forum-no/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2020-01-01,2020-Q1,2020-01-01,20200101233831,all_topics,all,Recent support topics,49,30,1470,48,60,3,3,5,30,,,https://wordpress.org/support/view/all-topics/,OXUU2WHDO4WHOZLB5JSRIRBNQ5GKRKDV,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20200101233831id_/https://wordpress.org/support/view/all-topics/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2020-01-01,2020-Q1,2020-01-01,20200101233837,no_replies,no_replies,Topics with no replies,1,10,10,0,10,10,0,3,10,,,https://wordpress.org/support/view/no-replies/,IEZ2YB4BPU4V6KTNO7VAJGON5D2ITMU6,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20200101233837id_/https://wordpress.org/support/view/no-replies/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2020-01-01,2020-Q1,2020-01-01,20200101101230,resolved,resolved,Resolved topics,49,30,1470,119,67,3,30,5,29,,,https://wordpress.org/support/view/support-forum-yes/,ZAPHHQT2THAT3KS2E2WFZQ3W5GOLRYAB,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20200101101230id_/https://wordpress.org/support/view/support-forum-yes/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2020-01-01,2020-Q1,2020-01-01,20200101233841,unresolved,unresolved,Unresolved topics,49,30,1470,60,65,3,0,4,30,,,https://wordpress.org/support/view/support-forum-no/,WKSTQ37UT3X67JZZQ4DEWL3V4KZ2MZQ7,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20200101233841id_/https://wordpress.org/support/view/support-forum-no/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2020-04-01,2020-Q2,2020-04-01,20200401181315,all_topics,all,Recent support topics,49,30,1470,53,66,2,2,4,30,,,https://wordpress.org/support/view/all-topics/,UEQIZWQEQQ42AC7VCWZKVF5QXNTWJWN7,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20200401181315id_/https://wordpress.org/support/view/all-topics/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2020-04-01,2020-Q2,2020-04-01,20200401181322,no_replies,no_replies,Topics with no replies,1,8,8,0,8,8,0,4,8,,,https://wordpress.org/support/view/no-replies/,WTWIV3IVUPYWNH6HWR362SEWD553CV2T,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20200401181322id_/https://wordpress.org/support/view/no-replies/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2020-04-01,2020-Q2,2020-04-02,20200402012616,resolved,resolved,Resolved topics,49,30,1470,114,81,0,30,4,29,,,https://wordpress.org/support/view/support-forum-yes/,ZMQKRCOLHO27J2WPUUSZ5ZWCMLB5ER7R,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20200402012616id_/https://wordpress.org/support/view/support-forum-yes/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2020-04-01,2020-Q2,2020-04-01,20200401181332,unresolved,unresolved,Unresolved topics,49,30,1470,54,67,2,0,5,30,,,https://wordpress.org/support/view/support-forum-no/,AYBYQAXFPYRGZHP4FRELYLKW4VUDD7DX,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20200401181332id_/https://wordpress.org/support/view/support-forum-no/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2020-07-01,2020-Q3,2020-07-01,20200701190759,all_topics,all,Recent support topics,49,30,1470,48,53,5,1,3,29,2020-07-01T19:04:00Z,2020-07-01T10:38:00Z,https://wordpress.org/support/view/all-topics/,V2PQC62W5EAL6PDTLHAMBVO5XATU52I7,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20200701190759id_/https://wordpress.org/support/view/all-topics/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2020-07-01,2020-Q3,2020-07-01,20200701044522,no_replies,no_replies,Topics with no replies,2,30,60,0,31,30,0,5,30,,,https://wordpress.org/support/view/no-replies/,6PVHPG6NG7M4RLQHITVXB65GK737ORFK,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20200701044522id_/https://wordpress.org/support/view/no-replies/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2020-07-01,2020-Q3,2020-07-01,20200701235910,resolved,resolved,Resolved topics,49,30,1470,110,63,1,30,4,30,2020-07-01T21:42:00Z,2020-06-28T20:14:00Z,https://wordpress.org/support/view/support-forum-yes/,LEP6DZ3QOGVARTHSDQTYIYDFLGV22ATX,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20200701235910id_/https://wordpress.org/support/view/support-forum-yes/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2020-07-01,2020-Q3,2020-07-01,20200701190813,unresolved,unresolved,Unresolved topics,49,30,1470,49,56,5,0,3,28,2020-07-01T19:08:00Z,2020-07-01T10:58:00Z,https://wordpress.org/support/view/support-forum-no/,YD6JFCRYQXP3CKVFZWURQBM23EYTMMRT,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20200701190813id_/https://wordpress.org/support/view/support-forum-no/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2020-10-01,2020-Q4,2020-10-01,20201001023358,all_topics,all,Recent support topics,49,30,1470,31,51,9,2,5,30,2020-09-30T23:51:00Z,2020-09-30T15:52:00Z,https://wordpress.org/support/view/all-topics/,GGIVMUZQHCQBBQPIQNXA7GTCEAK7T3TJ,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20201001023358id_/https://wordpress.org/support/view/all-topics/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2020-10-01,2020-Q4,2020-10-01,20201001122259,no_replies,no_replies,Topics with no replies,3,30,90,0,30,30,0,5,29,,,https://wordpress.org/support/view/no-replies/,VHEV7R6RZQTGYSHF3X5UOKTTJYXSVK3V,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20201001122259id_/https://wordpress.org/support/view/no-replies/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2020-10-01,2020-Q4,2020-10-01,20201001050318,resolved,resolved,Resolved topics,49,30,1470,81,59,0,30,7,30,2020-09-30T23:46:00Z,2020-09-28T15:33:00Z,https://wordpress.org/support/view/support-forum-yes/,BLPF33AODRTSP2B6RQ6ZAXE5S2T4EMIS,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20201001050318id_/https://wordpress.org/support/view/support-forum-yes/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2020-10-01,2020-Q4,2020-10-01,20201001122310,unresolved,unresolved,Unresolved topics,49,30,1470,11,41,20,0,5,29,2020-10-01T11:48:00Z,2020-10-01T03:45:00Z,https://wordpress.org/support/view/support-forum-no/,524R2UNUIWPBGDJXRZIBOAJOVFH4SACZ,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20201001122310id_/https://wordpress.org/support/view/support-forum-no/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2021-01-01,2021-Q1,2021-01-01,20210101130304,all_topics,all,Recent support topics,49,30,1470,34,50,12,4,4,29,2021-01-01T12:30:00Z,2020-12-31T22:53:00Z,https://wordpress.org/support/view/all-topics/,I6TDRBPXT7C3IP5OGZGBEKG34GFPH5QX,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20210101130304id_/https://wordpress.org/support/view/all-topics/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2021-01-01,2021-Q1,2021-01-01,20210101130310,no_replies,no_replies,Topics with no replies,1,19,19,0,20,19,0,4,19,,,https://wordpress.org/support/view/no-replies/,TQO2SUKWDOGLOCBVFEK74ZNYAWT6FJGC,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20210101130310id_/https://wordpress.org/support/view/no-replies/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2021-01-01,2021-Q1,2021-01-01,20210101223918,resolved,resolved,Resolved topics,49,30,1470,99,62,0,30,6,28,2021-01-01T22:04:00Z,2020-12-29T21:40:00Z,https://wordpress.org/support/view/support-forum-yes/,Y3LAXZO6FZRHON7MSDR6YZQCQKT7ZL5I,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20210101223918id_/https://wordpress.org/support/view/support-forum-yes/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2021-01-01,2021-Q1,2021-01-01,20210101130315,unresolved,unresolved,Unresolved topics,49,30,1470,35,51,12,0,5,29,2021-01-01T12:30:00Z,2020-12-31T19:52:00Z,https://wordpress.org/support/view/support-forum-no/,7HBSS4UNQFR5F2DBBY53VI7JYWPLHF25,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20210101130315id_/https://wordpress.org/support/view/support-forum-no/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2021-04-01,2021-Q2,2021-04-10,20210410200030,all_topics,all,Recent support topics,49,30,1470,38,50,9,0,6,30,2021-04-10T19:54:00Z,2021-04-10T11:09:00Z,https://wordpress.org/support/view/all-topics/,NJW7QQ5UW5O2DPC3WWHZHGQNA45K6MIU,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20210410200030id_/https://wordpress.org/support/view/all-topics/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2021-04-01,2021-Q2,2021-04-10,20210410200058,no_replies,no_replies,Topics with no replies,2,30,60,0,26,30,0,6,30,,,https://wordpress.org/support/view/no-replies/,Q2Y2BZKJ3LVLOGPPULARNUU34KP6UPW5,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20210410200058id_/https://wordpress.org/support/view/no-replies/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2021-04-01,2021-Q2,2021-04-11,20210411000728,resolved,resolved,Resolved topics,49,30,1470,122,61,1,30,4,29,2021-04-10T22:48:00Z,2021-04-07T05:18:00Z,https://wordpress.org/support/view/support-forum-yes/,P6IJBS2VMZKKKL5FCOVXW3GFWMZ5ARRX,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20210411000728id_/https://wordpress.org/support/view/support-forum-yes/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2021-04-01,2021-Q2,2021-04-10,20210410200110,unresolved,unresolved,Unresolved topics,49,30,1470,39,51,8,0,6,30,2021-04-10T19:54:00Z,2021-04-10T08:02:00Z,https://wordpress.org/support/view/support-forum-no/,U562DOP5ORFLO6XY55JOLYG6KTRJQTSI,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20210410200110id_/https://wordpress.org/support/view/support-forum-no/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2021-07-01,2021-Q3,2021-07-01,20210701141322,all_topics,all,Recent support topics,49,30,1470,30,52,10,1,2,29,2021-07-01T14:02:00Z,2021-07-01T07:46:00Z,https://wordpress.org/support/view/all-topics/,TUMNZ7MRU6MLI3YSV4NVQO2Q3FCOMBPU,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20210701141322id_/https://wordpress.org/support/view/all-topics/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2021-07-01,2021-Q3,2021-07-02,20210702000935,no_replies,no_replies,Topics with no replies,1,8,8,0,8,8,0,2,8,2021-07-01T23:51:00Z,2021-07-01T23:51:00Z,https://wordpress.org/support/view/no-replies/,3GTE4X2WNQVOP6CNQAN6VBQ7IWIHD7NE,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20210702000935id_/https://wordpress.org/support/view/no-replies/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2021-07-01,2021-Q3,2021-07-01,20210701042517,resolved,resolved,Resolved topics,49,30,1470,79,61,0,30,2,28,2021-07-01T04:19:00Z,2021-06-28T07:32:00Z,https://wordpress.org/support/view/support-forum-yes/,FGUZURYXXMW6YJBLCSRK4MQO6P6CZ6MR,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20210701042517id_/https://wordpress.org/support/view/support-forum-yes/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2021-07-01,2021-Q3,2021-07-02,20210702000940,unresolved,unresolved,Unresolved topics,49,30,1470,54,64,1,0,2,30,2021-07-01T23:59:00Z,2021-07-01T10:55:00Z,https://wordpress.org/support/view/support-forum-no/,ILUTFG6BGJVUX5TOWKW4QBZSWNS4YSSJ,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20210702000940id_/https://wordpress.org/support/view/support-forum-no/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2021-10-01,2021-Q4,2021-10-01,20211001123632,all_topics,all,Recent support topics,49,30,1470,65,62,4,1,5,30,2021-10-01T12:20:00Z,2021-09-30T19:39:00Z,https://wordpress.org/support/view/all-topics/,VPMB4DJONNRS245VAO6ZAFAIOHEV4QPK,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20211001123632id_/https://wordpress.org/support/view/all-topics/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2021-10-01,2021-Q4,2021-10-01,20211001123637,no_replies,no_replies,Topics with no replies,1,5,5,0,5,5,0,2,5,,,https://wordpress.org/support/view/no-replies/,JOONXJJPB5JZY3DCERGNF3QC54XI4YPT,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20211001123637id_/https://wordpress.org/support/view/no-replies/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2021-10-01,2021-Q4,2021-10-01,20211001215618,resolved,resolved,Resolved topics,49,30,1470,105,65,2,30,3,28,2021-10-01T21:42:00Z,2021-09-28T07:57:00Z,https://wordpress.org/support/view/support-forum-yes/,CQXLA3BMTIP2ILYPKVEVE7RUPJDVK4ET,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20211001215618id_/https://wordpress.org/support/view/support-forum-yes/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2021-10-01,2021-Q4,2021-10-01,20211001123644,unresolved,unresolved,Unresolved topics,49,30,1470,76,64,3,0,5,30,2021-10-01T12:36:00Z,2021-09-30T18:23:00Z,https://wordpress.org/support/view/support-forum-no/,66O54JHG6GFPNPHDWDYHX4VIV2ITTBZJ,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20211001123644id_/https://wordpress.org/support/view/support-forum-no/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2022-01-01,2022-Q1,2022-01-01,20220101181834,all_topics,all,Recent support topics,49,30,1470,57,62,3,2,3,30,2022-01-01T18:02:00Z,2021-12-31T13:19:00Z,https://wordpress.org/support/view/all-topics/,BCQRWAFKGR3A5EW5TUWKPMVT4SYXL5HU,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20220101181834id_/https://wordpress.org/support/view/all-topics/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
2022-01-01,2022-Q1,2022-01-01,20220101181838,no_replies,no_replies,Topics with no replies,1,10,10,0,10,10,0,4,9,,,https://wordpress.org/support/view/no-replies/,PYUJHH7VJHW2ZH45EYSKJDJ5PBPDWKX7,Internet Archive Wayback first-page snapshot of WordPress.org support view,https://web.archive.org/web/20220101181838id_/https://wordpress.org/support/view/no-replies/,"Estimated total topics equals pagination pages times first-page topic count; this is a queue-size estimate, not a full topic export.",2026-06-14T23:34:35Z
